OBJECTID,POLYGON_ID,AREA_ID,NM_AREA_ID,POLYGON_NM,NM_LANGCD,POLY_NM_TR,TRANS_TYPE,FEAT_TYPE,DETAIL_CTY,FEAT_COD,COVERIND,CLAIMED_BY,CONTROL_BY,anu_area,Shape_Length,Shape_Area,area_miles_
1,771453627,21009419,1,HAYWARD,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,116404.108216401902610,116155755.227468803524971,44.847987826271840
2,31472650,21009472,1,EL CERRITO,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,16136.546322099378813,9424463.290310109034181,3.638805619964838
3,31474469,21010262,1,COLMA,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,11294.944019346246932,5014761.214024513959885,1.936210129560986
4,793236011,21010411,1,FAIRFIELD,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,122269.253533483599313,99217943.029638811945915,38.308261974854709
5,17374848,21010470,1,SANTA ROSA,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,3415.805318317192814,434463.334960595646407,0.167747231457598
6,31468105,21010470,1,SANTA ROSA,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,2665.875747063034396,414073.759269820584450,0.159874772270603
7,17374851,21010470,1,SANTA ROSA,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,6838.490472657878854,2323940.465154625941068,0.897278430036741
8,793600609,21010470,1,SANTA ROSA,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,94163.800971037650015,103680617.838386222720146,40.031310351608610
9,31468111,21010470,1,SANTA ROSA,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,11128.826927965514187,3395792.123278703540564,1.311122668929435
10,724374612,21010289,1,SAN MATEO,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,42179.893069289501000,32799078.723421696573496,12.663795094959605
11,749822801,21009422,1,NEWARK,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,30031.373371405843500,37142869.993995264172554,14.340942281003469
12,738412451,21009791,1,ROSS,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,10881.853466717313495,3962174.940342967398465,1.529804297187668
13,31468707,21010275,1,MILLBRAE,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,15511.715502025801470,8295478.069686994887888,3.202901989263184
14,793222105,21010108,1,HOLLISTER,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,53963.290409144676232,17718170.810990866273642,6.841023996434821
15,793248906,21009492,1,SAN RAMON,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,51722.674368306703400,46577845.465174078941345,17.983806676693231
16,31469709,21009479,1,MORAGA,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,29524.429562138146139,24393037.414615809917450,9.418204400411634
17,711441929,21010458,1,HEALDSBURG,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,20842.949355063865369,10573168.885189050808549,4.082323329734920
18,760439689,21009478,1,MARTINEZ,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,48719.258080601488473,33867558.213966734707355,13.076337332670896
19,753228560,21009424,1,OAKLAND,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,107776.491745582694421,149370845.527796357870102,57.672405889074284
20,739398443,21009489,1,RICHMOND,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,148839.407574732118519,80159747.205671012401581,30.949851428341507
21,31468112,21010471,1,SEBASTOPOL,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,16849.210402959826752,5070119.961198756471276,1.957584261341940
22,31473859,21009798,1,SAUSALITO,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,14021.539555875731821,4485600.472118061035872,1.731900024868477
23,31459133,21010442,1,COTATI,ENG, , ,CITY,Y,900101,N0, , ,0.000000000000000,18273.829545839140337,4896413.936886649578810,1.890515990394508
