city,vmt_B60,vhd_B60,fuel_B60,vmtload_nrs_B60,vhdload_nrs_B60,cong_miles_B60,highway_acc_B60,vmt_UET,vhd_UET,fuel_UET,vmtload_nrs_UET,vhdload_nrs_UET,cong_miles_UET,highway_acc_UET,vmt_SOT,vhd_SOT,fuel_SOT,vmtload_nrs_SOT,vhdload_nrs_SOT,cong_miles_SOT,highway_acc_SOT,vmt_SOF,vhd_SOF,fuel_SOF,vmtload_nrs_SOF,vhdload_nrs_SOF,cong_miles_SOF,highway_acc_SOF
cotati,202402.39,29.0,8893.91,0.07,0.0,0.0,82,201631.78,28.0,8869.76,0.07,0.0,0.0,81,198496.88,22.0,8786.79,0.07,0.0,0.0,79,109652.71,125.0,2791.81,0.25,0.12,0.59,0
hillsborough,37331.35,0.0,1017.64,0.74,0.0,0.0,0,38313.66,0.0,1045.4,0.74,0.0,0.0,0,40498.55,0.0,1106.9,0.73,0.0,0.0,0,151307.57,116.0,4101.38,0.64,0.34,0.88,0
capitola,5.32,0.0,0.3,,0.0,0.0,0,8.46,0.0,0.57,,0.0,0.0,0,10.03,0.0,0.66,,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0
calistoga,19429.59,0.0,513.29,0.35,0.0,0.0,0,19432.26,0.0,513.27,0.35,0.0,0.0,0,19432.5,0.0,513.24,0.35,0.0,0.0,0,20571.73,0.0,533.76,0.41,0.0,0.0,0
berkeley,1650128.63,3954.0,56133.73,0.24,0.04,6.91,303,1629536.03,2939.0,55553.07,0.25,0.02,5.25,298,1603088.6,1161.0,55138.62,0.27,0.03,3.78,279,1585629.41,1449.0,42476.14,0.49,0.19,3.51,22
cloverdale,26603.1,0.0,824.86,0.34,0.0,0.0,3,26602.96,0.0,824.87,0.34,0.0,0.0,3,26602.79,0.0,824.86,0.34,0.0,0.0,3,27133.2,0.0,704.45,0.51,0.0,0.0,0
san_rafael,1546207.86,1170.0,62414.11,0.08,0.03,2.5,504,1544996.04,921.0,62276.02,0.07,0.01,1.81,503,1549160.65,563.0,62323.74,0.08,0.01,0.29,502,1422088.51,1499.0,49434.81,0.12,0.02,2.02,271
santa_rosa,2407005.15,704.0,92950.37,0.1,0.0,3.18,401,2397778.01,432.0,92420.0,0.1,0.0,2.29,397,2377515.51,304.0,91285.76,0.11,0.01,0.07,387,2105086.34,1132.0,57750.37,0.23,0.03,5.94,1
san_mateo,2516293.67,3225.0,97071.09,0.07,0.0,11.77,826,2439350.2,1886.0,95764.37,0.07,0.0,9.07,801,2336835.49,1036.0,93954.05,0.07,0.0,2.69,763,2061721.13,4602.0,55508.14,0.28,0.08,13.57,71
portola_valley,35851.29,0.0,994.64,0.3,0.0,0.0,0,35940.57,0.0,997.5,0.3,0.0,0.0,0,35984.59,0.0,999.05,0.3,0.0,0.0,0,42821.57,0.0,1188.2,0.26,0.0,0.0,0
redwood_city,1804366.63,3125.0,66257.3,0.1,0.0,10.17,402,1725792.31,1281.0,64588.31,0.11,0.0,4.42,377,1631481.39,605.0,62470.99,0.12,0.01,0.91,343,1535969.41,2812.0,40299.38,0.29,0.07,7.29,18
dixon,61918.16,0.0,1922.12,0.38,0.0,0.0,9,61918.43,0.0,1921.93,0.38,0.0,0.0,9,61917.31,0.0,1921.98,0.38,0.0,0.0,9,70061.32,0.0,1833.12,0.43,0.0,0.0,0
hayward,3142746.16,3955.0,129032.65,0.09,0.02,13.24,792,3152544.76,2586.0,131009.26,0.09,0.01,10.0,774,3163542.73,1499.0,132492.22,0.09,0.03,2.96,739,3112052.05,6372.0,95304.98,0.18,0.04,25.35,144
pinole,578832.41,268.0,27420.72,0.05,0.0,1.43,185,577781.95,249.0,27431.93,0.05,0.0,0.0,184,573840.16,193.0,27298.82,0.05,0.0,0.0,181,450128.39,1345.0,13991.71,0.14,0.01,2.15,26
fairfield,1882351.61,165.0,80631.79,0.1,0.01,2.06,539,1882773.68,155.0,80612.88,0.1,0.01,0.94,539,1893435.32,134.0,80951.64,0.1,0.01,0.44,539,1828358.56,3490.0,51864.22,0.25,0.13,18.87,60
newark,1202047.21,2547.0,56553.32,0.05,0.0,4.83,396,1186718.83,697.0,56288.83,0.05,0.0,3.3,393,1143016.96,386.0,55193.19,0.05,0.0,0.07,371,703558.14,584.0,22907.01,0.14,0.0,2.55,52
healdsburg,168080.35,3.0,7143.61,0.23,0.0,0.0,71,168054.7,3.0,7141.89,0.23,0.0,0.0,71,167892.9,3.0,7129.95,0.23,0.0,0.0,70,146298.31,73.0,3814.66,0.41,0.12,0.39,3
tiburon,68738.46,4.0,1818.22,0.16,0.0,0.0,0,68746.81,4.0,1818.36,0.16,0.0,0.0,0,68790.14,4.0,1819.16,0.16,0.0,0.0,0,69613.28,4.0,1835.83,0.17,0.0,0.0,0
rio_vista,18690.03,0.0,520.24,0.55,0.0,0.0,2,18776.27,0.0,523.02,0.55,0.0,0.0,2,19064.58,0.0,531.82,0.54,0.0,0.0,2,20172.04,0.0,554.4,0.54,0.0,0.0,2
vacaville,953351.89,18.0,38355.01,0.14,0.0,0.0,253,953932.63,18.0,38379.81,0.14,0.0,0.0,253,956698.29,18.0,38506.54,0.14,0.0,0.0,253,714899.39,65.0,20484.69,0.3,0.17,0.0,36
los_altos,378615.7,180.0,12410.19,0.13,0.0,0.02,29,400224.1,42.0,13282.96,0.13,0.0,0.02,33,430135.98,57.0,14457.6,0.12,0.0,0.01,38,735773.16,2057.0,20416.58,0.11,0.0,9.78,0
half_moon_bay,76100.33,2.0,2282.46,0.2,0.0,0.0,0,76257.3,2.0,2289.05,0.2,0.0,0.0,0,76403.99,2.0,2292.03,0.2,0.0,0.0,0,68634.68,1.0,2010.87,0.24,0.0,0.0,0
mill_valley,107559.21,45.0,2902.48,0.22,0.0,0.08,3,107812.86,40.0,2899.65,0.22,0.0,0.03,3,108540.02,30.0,2918.78,0.22,0.0,0.0,3,178597.69,181.0,4667.86,0.16,0.01,0.05,2
daly_city,1499347.74,334.0,61995.35,0.07,0.06,1.05,369,1525272.22,348.0,62933.8,0.07,0.05,1.41,380,1546895.49,316.0,63690.01,0.07,0.03,0.67,381,1199617.65,2575.0,30418.17,0.25,0.06,5.45,11
dublin,956566.98,201.0,43383.35,0.07,0.0,0.47,292,955112.03,164.0,43510.59,0.08,0.0,0.22,290,948567.93,129.0,43212.8,0.08,0.0,0.22,283,836356.82,657.0,23475.9,0.43,1.01,4.23,16
larkspur,274125.47,107.0,10229.68,0.06,0.0,0.45,93,274876.39,90.0,10261.71,0.06,0.0,0.45,92,278042.02,90.0,10388.06,0.06,0.0,0.12,93,269248.77,387.0,8951.15,0.1,0.0,0.84,71
piedmont,27853.42,0.0,761.86,0.63,0.0,0.0,0,28261.63,0.0,772.72,0.63,0.0,0.0,0,30502.19,0.0,837.71,0.61,0.0,0.0,0,98127.83,45.0,2609.61,0.49,0.16,0.06,0
union_city,736296.89,718.0,27179.01,0.1,0.0,2.63,121,730739.74,519.0,27268.93,0.1,0.0,2.1,117,738843.85,291.0,27786.51,0.1,0.0,0.64,109,1123504.03,2983.0,33021.15,0.1,0.0,10.98,7
richmond,2408573.44,1522.0,109954.42,0.1,0.01,5.78,892,2396379.54,1082.0,109781.37,0.1,0.01,4.74,888,2377212.95,766.0,109338.72,0.1,0.01,2.37,877,1817700.74,2400.0,55797.68,0.29,0.09,7.98,161
american_canyon,342491.31,256.0,10954.92,0.09,0.0,2.26,0,334686.5,208.0,10675.0,0.09,0.0,2.01,0,309730.12,117.0,9801.43,0.1,0.0,0.41,0,348389.14,286.0,11173.94,0.15,0.01,2.73,0
millbrae,259567.16,185.0,8919.79,0.09,0.0,1.2,47,255995.77,120.0,8957.58,0.09,0.0,0.68,47,253225.52,72.0,9052.16,0.1,0.0,0.0,46,509184.85,1431.0,12721.98,0.17,0.03,3.81,1
